year,storm, dates , max_winds_mph , min_pressure_mb , maximum_strength 
2008,GUSTAV,8/25 - 9/5,135,941,Hurricane
2008,HANNA,8/28 - 9/8,75,977,Hurricane
2008,IKE,9/1 - 9/15,125,935,Hurricane
2008,JOSEPHINE,9/2 - 9/10,55,994,Tropical Storm
2008,KYLE,9/25 - 9/30,75,984,Hurricane
2008,LAURA,9/26 - 10/4,70,990,Tropical Storm
2008,MARCO,10/6 - 10/7,55,998,Tropical Storm
2008,NANA,10/12 - 10/15,35,1004,Tropical Storm
2008,NOT_NAMED,10/14 - 10/16,25,1004,Tropical Depression
2008,OMAR,10/13 - 10/21,115,958,Hurricane
2008,PALOMA,11/5 - 11/14,125,944,Hurricane
2007,ANDREA,5/6 - 5/14,65,998,Extratropical
2007,BARRY,5/31 - 6/5,50,990,Tropical Storm
2007,CHANTAL,7/31 - 8/5,60,964,Tropical Storm
2007,DEAN,8/13 - 8/23,150,905,Hurricane
2007,ERIN,8/15 - 8/19,50,995,Tropical Storm
2007,FELIX,8/31 - 9/6,150,929,Hurricane
2007,GABRIELLE,9/8 - 9/11,50,1004,Tropical Storm
2007,HUMBERTO,9/12 - 9/14,80,985,Hurricane
2007,INGRID,9/12 - 9/18,40,1002,Tropical Storm
2007,JERRY,9/23 - 9/24,35,1003,Tropical Storm
2007,KAREN,9/25 - 9/29,65,988,Hurricane
2007,LORENZO,9/25 - 9/28,70,990,Hurricane
2007,MELISSA,9/28 - 10/5,35,1005,Tropical Storm
2007,NOEL,10/24 - 11/6,75,965,Hurricane
2007,NOT_NAMED,10/11 - 10/17,45,996,Tropical Depression
2007,NOT_NAMED,9/21 - 9/22,30,1005,Tropical Depression
2007,OLGA,12/10 - 12/16,50,1003,Tropical Storm
2006,ALBERTO,6/10 - 6/19,60,969,Tropical Storm
2006,BERYL,7/18 - 7/22,50,1000,Tropical Storm
2006,CHRIS,8/1 - 8/6,55,1001,Tropical Storm
2006,DEBBY,8/21 - 8/28,45,999,Tropical Storm
2006,ERNESTO,8/24 - 9/4,65,985,Hurricane
2006,FLORENCE,9/3 - 9/19,80,963,Hurricane
2006,GORDON,9/10 - 9/24,105,955,Hurricane
2006,HELENE,9/12 - 9/27,105,955,Hurricane
2006,ISAAC,9/27 - 10/3,75,985,Hurricane
2006,NOT_NAMED,7/16 - 7/19,45,998,Tropical Storm
2005,ALPHA,10/22 - 10/24,45,998,Tropical Storm
2005,ARLENE,6/8 - 6/14,60,989,Tropical Storm
2005,BETA,10/26 - 10/31,100,962,Hurricane
2005,BRET,6/28 - 6/30,35,1002,Tropical Storm
2005,CINDY,7/3 - 7/11,65,991,Hurricane
2005,DELTA,11/19 - 11/29,60,980,Tropical Storm
2005,DENNIS,7/4 - 7/18,130,930,Hurricane
2005,EMILY,7/11 - 7/21,140,929,Hurricane
2005,EPSILON,11/29 - 12/9,75,981,Hurricane
2005,FRANKLIN,7/21 - 7/31,60,997,Tropical Storm
2005,GAMMA,11/14 - 11/22,45,1002,Tropical Storm
2005,GERT,7/23 - 7/25,40,1005,Tropical Storm
2005,HARVEY,8/2 - 8/14,55,994,Tropical Storm
2005,IRENE,8/4 - 8/18,90,970,Hurricane
2005,JOSE,8/22 - 8/23,50,998,Tropical Storm
2005,KATRINA,8/23 - 8/31,150,902,Hurricane
2005,LEE,8/28 - 9/3,35,1006,Tropical Storm
2005,MARIA,9/1 - 9/14,100,962,Hurricane
2005,NATE,9/5 - 9/12,80,979,Hurricane
2005,NOT_NAMED,10/8 - 10/14,40,1005,Tropical Low
2005,NOT_NAMED,10/4 - 10/5,45,997,Tropical Low
2005,NOT_NAMED,9/30 - 10/2,30,1006,Tropical Depression
2005,NOT_NAMED,8/13 - 8/18,30,1008,Tropical Depression
2005,OPHELIA,9/6 - 9/23,75,976,Hurricane
2005,PHILIPPE,9/17 - 9/24,70,985,Hurricane
2005,RITA,9/18 - 9/26,155,895,Hurricane
2005,STAN,10/1 - 10/5,70,977,Hurricane
2005,TAMMY,10/5 - 10/7,45,1001,Tropical Storm
2005,VINCE,10/8 - 10/11,65,988,Hurricane
2005,WILMA,10/15 - 10/26,160,882,Hurricane
2005,ZETA,12/30 - 1/7,55,994,Tropical Storm
