CELL_TYPE,MAX_SHEAR,WSR_ID,MXDV,CELL_ID,ZTIME,AZIMUTH,RANGE,type,longitude,latitude
TVS,102,KFSX,74,Y2,2024-07-11T20:06:25Z,264,12,Point,-111.4388,34.5528
TVS,30,KMSY,88,C9,2024-07-11T22:02:39Z,291,47,Point,-91.2479,30.3006
TVS,30,KMSY,90,C9,2024-07-11T22:32:38Z,286,48,Point,-91.2909,30.24
TVS,31,KMSY,93,C9,2024-07-11T22:38:38Z,281,47,Point,-91.2902,30.1688
TVS,30,KMSY,88,C9,2024-07-11T22:47:28Z,281,47,Point,-91.2902,30.1688
TVS,29,KMSY,86,C9,2024-07-11T22:50:38Z,284,47,Point,-91.2803,30.209
TVS,27,KMSY,79,C9,2024-07-11T23:02:38Z,282,46,Point,-91.2683,30.1789
TVS,37,TSJU,79,W6,2024-07-11T23:44:21Z,186,33,Point,-66.2403,17.9249
TVS,11,KGLD,59,Y0,2024-07-12T00:51:59Z,199,84,Point,-102.2769,38.0406
TVS,10,KGLD,56,L1,2024-07-12T02:19:03Z,324,87,Point,-102.8178,40.5356
TVS,10,KGLD,54,L1,2024-07-12T02:23:24Z,323,85,Point,-102.8175,40.4939
TVS,14,KGLD,78,Q1,2024-07-12T02:31:08Z,314,88,Point,-103.0806,40.3785
TVS,14,KGLD,78,I2,2024-07-12T02:47:55Z,333,88,Point,-102.575,40.6715
TVS,11,KGLD,58,M2,2024-07-12T02:58:43Z,333,85,Point,-102.5446,40.6271
TVS,77,KMCI,97,H1,2024-07-12T04:01:26Z,209,19,Point,-94.9396,39.2217
TVS,41,KMCI,85,B0,2024-07-12T04:19:26Z,105,35,Point,-94.0156,39.3456
TVS,43,KMCI,92,B0,2024-07-12T04:22:16Z,106,36,Point,-93.9986,39.3311
TVS,39,KMCI,92,B0,2024-07-12T04:31:26Z,108,38,Point,-93.9659,39.3006
TVS,34,KMCI,90,O2,2024-07-12T04:49:26Z,105,42,Point,-93.8707,39.3144
TVS,29,KMCI,83,L2,2024-07-12T04:52:16Z,100,46,Point,-93.7684,39.3617
TVS,52,KPHX,86,F1,2024-07-12T05:00:39Z,100,26,Point,-111.6535,33.3436
TVS,24,KMCI,71,Q2,2024-07-12T05:04:16Z,105,47,Point,-93.7672,39.292
TVS,24,KGGW,73,D2,2024-07-13T00:29:42Z,360,48,Point,-106.625,49.0053
TVS,49,KEYX,87,K0,2024-07-13T00:34:39Z,117,28,Point,-117.0555,34.8848
TVS,34,KGGW,99,D2,2024-07-13T00:36:14Z,1,48,Point,-106.6038,49.0052
TVS,32,KGGW,80,D2,2024-07-13T01:02:22Z,12,41,Point,-106.4098,48.8736
TVS,32,KGGW,80,D2,2024-07-13T01:02:22Z,12,41,Point,-106.4098,48.8736
TVS,45,KGGW,80,M2,2024-07-13T01:07:47Z,22,28,Point,-106.3614,48.638
TVS,27,KGGW,66,D2,2024-07-13T01:07:47Z,13,39,Point,-106.4036,48.8386
TVS,45,KGGW,80,M2,2024-07-13T01:07:47Z,22,28,Point,-106.3614,48.638
TVS,27,KGGW,66,D2,2024-07-13T01:07:47Z,13,39,Point,-106.4036,48.8386
TVS,28,KGGW,64,D2,2024-07-13T01:13:12Z,14,37,Point,-106.3993,48.8036
TVS,28,KGGW,64,D2,2024-07-13T01:13:12Z,14,37,Point,-106.3993,48.8036
TVS,27,KGGW,74,A3,2024-07-13T01:52:20Z,38,43,Point,-105.958,48.7683
TVS,27,KGGW,74,A3,2024-07-13T01:52:20Z,38,43,Point,-105.958,48.7683
TVS,15,KMBX,49,F4,2024-07-13T01:55:52Z,154,53,Point,-100.2918,47.5982
TVS,60,KFDX,85,A0,2024-07-13T02:48:30Z,294,22,Point,-104.0257,34.7827
TVS,32,KGGW,97,M2,2024-07-13T03:11:05Z,85,46,Point,-105.4816,48.2671
TVS,32,KGGW,97,M2,2024-07-13T03:11:05Z,85,46,Point,-105.4816,48.2671
TVS,31,KLAS,89,D0,2024-07-13T03:28:24Z,215,46,Point,-115.5457,35.5139
TVS,29,KLAS,83,D0,2024-07-13T03:40:23Z,216,47,Point,-115.571,35.5081
TVS,30,KLAS,90,D0,2024-07-13T03:46:23Z,217,47,Point,-115.5845,35.5162
TVS,30,KLAS,89,D0,2024-07-13T03:49:33Z,218,47,Point,-115.5979,35.5244
TVS,37,TSJU,90,F5,2024-07-13T06:49:34Z,22,38,Point,-65.9295,19.0633
TVS,45,KUDX,78,E9,2024-07-13T09:54:57Z,267,27,Point,-103.4537,44.0997
TVS,59,KUDX,61,A2,2024-07-13T10:06:56Z,246,16,Point,-103.1676,44.016
TVS,65,KUDX,56,G2,2024-07-13T10:23:04Z,246,15,Point,-103.1466,44.0229
TVS,119,KUDX,70,G2,2024-07-13T10:28:21Z,226,9,Point,-102.9796,44.0207
TVS,21,KUDX,49,D3,2024-07-13T10:59:31Z,167,37,Point,-102.6393,43.524
TVS,80,KUDX,118,F0,2024-07-13T11:04:34Z,130,23,Point,-102.4239,43.8779
TVS,37,KUDX,71,F0,2024-07-13T11:04:34Z,145,30,Point,-102.4345,43.7148
TVS,43,KUDX,86,F0,2024-07-13T11:10:00Z,146,32,Point,-102.419,43.6821
TVS,25,KUDX,52,F0,2024-07-13T11:10:00Z,147,33,Point,-102.4173,43.663
TVS,22,KUDX,60,R4,2024-07-13T11:10:00Z,164,43,Point,-102.5589,43.4358
TVS,26,KUDX,59,F0,2024-07-13T11:15:26Z,141,36,Point,-102.3098,43.6575
TVS,31,KUDX,63,F0,2024-07-13T11:15:26Z,126,34,Point,-102.197,43.7902
TVS,32,KUDX,91,R4,2024-07-13T11:20:51Z,153,45,Point,-102.3625,43.4558
TVS,27,KUDX,83,G4,2024-07-13T11:26:18Z,145,49,Point,-102.1868,43.4542
TVS,57,KBYX,54,A8,2024-07-13T18:33:41Z,252,15,Point,-81.9638,24.5193
TVS,214,TJUA,91,C0,2024-07-13T19:13:38Z,359,7,Point,-66.0801,18.2331
TVS,37,KMSY,85,C1,2024-07-13T19:22:12Z,1,36,Point,-90.3909,30.6232
TVS,28,KMSP,68,J5,2024-07-13T19:40:43Z,280,39,Point,-93.835,44.9803
TVS,37,KMSY,81,G2,2024-07-13T19:46:11Z,360,37,Point,-90.403,30.64
TVS,31,KMSY,86,Y1,2024-07-13T19:58:11Z,15,44,Point,-90.1828,30.7317
TVS,31,KMKE,84,C0,2024-07-13T20:08:44Z,238,43,Point,-88.8669,42.4362
TVS,45,KMSY,93,P2,2024-07-13T20:16:11Z,23,34,Point,-90.1466,30.5445
TVS,29,KMSP,85,S1,2024-07-13T20:19:52Z,123,48,Point,-91.9965,44.4315
TVS,30,KMSP,88,J0,2024-07-13T20:19:52Z,107,47,Point,-91.8837,44.6372
TVS,22,KARX,72,O2,2024-07-13T20:24:06Z,326,51,Point,-91.8555,44.5257
TVS,33,KARX,106,O2,2024-07-13T20:24:06Z,317,48,Point,-91.9522,44.4055
TVS,53,KMSY,81,U2,2024-07-13T20:28:11Z,99,25,Point,-89.9292,29.9558
TVS,26,KARX,78,O2,2024-07-13T20:29:51Z,325,46,Point,-91.8049,44.4493
TVS,45,KMCO,81,V4,2024-07-13T20:33:02Z,130,28,Point,-80.9219,28.0427
TVS,28,KLAS,65,Q0,2024-07-13T20:33:41Z,240,37,Point,-115.6639,35.8335
TVS,59,KMSY,86,U2,2024-07-13T20:34:11Z,104,22,Point,-89.9935,29.9325
TVS,24,KARX,65,O2,2024-07-13T20:35:21Z,330,44,Point,-91.703,44.4569
TVS,21,KARX,61,O2,2024-07-13T20:35:21Z,332,46,Point,-91.6939,44.4988
TVS,29,KARX,75,O2,2024-07-13T20:40:43Z,335,44,Point,-91.624,44.4868
TVS,24,KARX,70,O2,2024-07-13T20:40:43Z,334,47,Point,-91.671,44.526
TVS,25,KARX,60,V3,2024-07-13T20:46:34Z,339,39,Point,-91.5161,44.4293
TVS,23,KARX,53,V3,2024-07-13T20:46:34Z,337,37,Point,-91.5271,44.3901
TVS,24,KARX,56,O2,2024-07-13T20:52:09Z,345,37,Point,-91.4137,44.4184
TVS,25,KARX,56,O2,2024-07-13T20:52:09Z,344,35,Point,-91.4152,44.3835
TVS,32,KARX,66,N5,2024-07-13T20:52:09Z,334,33,Point,-91.5269,44.3168
TVS,16,KGRB,52,W4,2024-07-13T20:52:33Z,315,54,Point,-89.01,45.1318
TVS,32,KMSP,71,M1,2024-07-13T21:31:51Z,192,36,Point,-93.1067,44.2841
TVS,26,KARX,77,Q6,2024-07-13T21:32:10Z,295,47,Point,-92.1772,44.1498
TVS,41,KMPX,81,U0,2024-07-13T21:44:31Z,195,30,Point,-93.7454,44.366
TVS,28,KMPX,70,C0,2024-07-13T21:44:31Z,151,39,Point,-93.1263,44.2797
TVS,34,KMCO,70,Y7,2024-07-13T21:45:01Z,25,32,Point,-81.0693,28.8283
TVS,34,KBNA,84,G0,2024-07-13T21:45:43Z,259,41,Point,-87.4872,35.8466
TVS,29,KMSP,67,M1,2024-07-13T21:49:51Z,193,38,Point,-93.1312,44.2538
TVS,34,KMPX,85,C0,2024-07-13T21:50:37Z,151,41,Point,-93.104,44.2505
TVS,30,KMSP,71,M1,2024-07-13T21:55:51Z,189,39,Point,-93.0744,44.229
TVS,38,KMPX,105,C0,2024-07-13T21:56:43Z,150,41,Point,-93.0895,44.2563
TVS,39,KMSP,94,M1,2024-07-13T22:01:51Z,188,39,Point,-93.0588,44.2274
TVS,31,KMSP,73,M1,2024-07-13T22:07:51Z,188,39,Point,-93.0588,44.2274
TVS,32,KBNA,84,G0,2024-07-13T22:09:43Z,261,42,Point,-87.5128,35.8673
TVS,34,KMSP,83,M1,2024-07-13T22:10:41Z,186,40,Point,-93.0299,44.208
TVS,32,KMSP,92,R1,2024-07-13T22:10:41Z,221,45,Point,-93.6183,44.303
TVS,32,KMPX,71,U0,2024-07-13T22:14:20Z,183,34,Point,-93.6063,44.2832
TVS,36,KMSP,93,M1,2024-07-13T22:19:51Z,184,40,Point,-92.9977,44.206
TVS,26,KMPX,74,C0,2024-07-13T22:20:06Z,149,46,Point,-93.0161,44.1906
TVS,24,KMSP,71,R1,2024-07-13T22:22:41Z,217,46,Point,-93.5751,44.257
TVS,30,KMSP,78,M1,2024-07-13T22:22:41Z,183,40,Point,-92.9815,44.2053
TVS,33,KMSP,98,R1,2024-07-13T22:25:51Z,215,46,Point,-93.5448,44.2414
TVS,18,KEMX,58,E0,2024-07-13T22:26:02Z,254,50,Point,-111.5687,31.6604
TVS,32,KMSP,83,M1,2024-07-13T22:28:41Z,182,41,Point,-92.9661,44.1882
TVS,46,KMSP,123,M1,2024-07-13T22:28:41Z,185,43,Point,-93.0198,44.1571
TVS,33,KMSP,87,X4,2024-07-13T22:31:51Z,185,44,Point,-93.0218,44.1405
TVS,55,KEYX,52,P7,2024-07-13T22:37:27Z,137,14,Point,-117.3674,34.9269
TVS,24,KMSP,70,R1,2024-07-13T22:37:51Z,212,47,Point,-93.5101,44.2053
TVS,18,KMSP,52,M1,2024-07-13T22:40:41Z,181,46,Point,-92.9516,44.1046
TVS,33,KMSP,95,M1,2024-07-13T22:43:51Z,180,47,Point,-92.933,44.0878
TVS,30,KMSP,86,M1,2024-07-13T22:46:41Z,178,45,Point,-92.8967,44.1216
TVS,18,KMPX,60,C0,2024-07-13T22:47:40Z,148,52,Point,-92.9275,44.1123
TVS,34,KGGW,114,B0,2024-07-13T22:49:50Z,234,53,Point,-107.6828,47.6823
TVS,30,KMSP,83,M1,2024-07-13T22:49:51Z,178,45,Point,-92.8967,44.1216
TVS,23,KMSP,70,M1,2024-07-13T22:55:51Z,176,48,Point,-92.8556,44.073
TVS,35,KMSP,89,M1,2024-07-13T22:55:51Z,179,43,Point,-92.9156,44.1545
TVS,18,KGGW,60,B0,2024-07-13T23:00:39Z,225,53,Point,-107.5477,47.5781
TVS,27,KMPX,76,U0,2024-07-13T23:09:04Z,173,45,Point,-93.4381,44.1046
TVS,28,KMPX,80,U0,2024-07-13T23:14:25Z,172,47,Point,-93.4138,44.0733
TVS,18,KMKX,58,P1,2024-07-14T00:12:24Z,329,53,Point,-89.1784,43.7235
TVS,20,KMKX,62,C2,2024-07-14T00:12:24Z,307,51,Point,-89.4834,43.4758
TVS,19,KMKX,59,P1,2024-07-14T00:12:24Z,324,52,Point,-89.2529,43.6671
TVS,29,KBOS,86,J0,2024-07-14T00:14:21Z,6,47,Point,-70.8215,42.9371
TVS,27,KBOS,80,J0,2024-07-14T00:17:11Z,8,48,Point,-70.7814,42.9503
TVS,18,KMKX,59,P1,2024-07-14T00:17:35Z,333,53,Point,-89.1043,43.7538
TVS,20,KMKX,66,P1,2024-07-14T00:17:35Z,328,49,Point,-89.1472,43.6591
TVS,16,KMKX,53,O2,2024-07-14T00:22:59Z,339,54,Point,-88.9964,43.8074
TVS,29,KMKX,81,P1,2024-07-14T00:22:59Z,329,46,Point,-89.0947,43.6239
TVS,21,KMKX,63,P1,2024-07-14T00:22:59Z,330,48,Point,-89.1021,43.6596
TVS,21,KMKX,59,P1,2024-07-14T00:28:14Z,332,45,Point,-89.0359,43.6292
TVS,16,KMKX,53,O2,2024-07-14T00:28:14Z,340,51,Point,-88.9522,43.7661
TVS,33,KMKX,90,P1,2024-07-14T00:33:29Z,336,43,Point,-88.9523,43.6221
TVS,17,KMKX,53,H3,2024-07-14T00:33:29Z,340,49,Point,-88.9363,43.7348
TVS,22,KMVX,52,V9,2024-07-14T00:38:19Z,133,40,Point,-96.6116,47.0714
TVS,25,KMKX,63,P1,2024-07-14T00:38:54Z,339,41,Point,-88.8881,43.6055
TVS,25,KMKX,69,H3,2024-07-14T00:38:54Z,345,46,Point,-88.8246,43.7083
TVS,26,KMKX,70,H3,2024-07-14T00:44:19Z,348,45,Point,-88.766,43.7015
TVS,32,KMKX,76,P1,2024-07-14T00:44:19Z,343,39,Point,-88.8125,43.5893
TVS,32,KMKX,69,P1,2024-07-14T00:44:19Z,332,34,Point,-88.9164,43.4678
TVS,24,KMKX,60,P1,2024-07-14T00:44:19Z,343,41,Point,-88.8261,43.6212
TVS,20,KMKX,53,J3,2024-07-14T00:49:43Z,352,44,Point,-88.6917,43.6942
TVS,27,KMVX,75,V9,2024-07-14T00:51:39Z,135,44,Point,-96.5672,47.0073
TVS,29,KMVX,83,V9,2024-07-14T00:58:19Z,136,45,Point,-96.5639,46.9863
TVS,35,KMVX,94,V9,2024-07-14T00:58:19Z,133,44,Point,-96.5409,47.0255
TVS,18,KMKX,54,Y3,2024-07-14T01:00:32Z,2,50,Point,-88.5108,43.8009
TVS,22,KMKX,60,J3,2024-07-14T01:00:32Z,358,44,Point,-88.5863,43.7009
TVS,19,KMVX,56,V9,2024-07-14T01:05:00Z,137,47,Point,-96.5451,46.9528
TVS,37,KMVX,102,V9,2024-07-14T01:05:00Z,137,44,Point,-96.5943,46.9897
TVS,25,KMKX,77,A5,2024-07-14T01:05:55Z,4,48,Point,-88.474,43.7661
TVS,20,KGRB,59,A5,2024-07-14T01:06:58Z,198,46,Point,-88.438,43.7694
TVS,22,KMKX,65,A5,2024-07-14T01:11:19Z,8,48,Point,-88.3974,43.7602
TVS,17,KMKX,56,A5,2024-07-14T01:11:19Z,7,52,Point,-88.4051,43.8282
TVS,27,KMVX,82,V9,2024-07-14T01:12:30Z,137,52,Point,-96.4631,46.8913
TVS,24,KMVX,74,V9,2024-07-14T01:12:30Z,139,49,Point,-96.5434,46.9093
TVS,21,KGRB,61,A5,2024-07-14T01:12:47Z,194,45,Point,-88.3614,43.7711
TVS,23,KMKX,67,K5,2024-07-14T01:16:43Z,11,47,Point,-88.3448,43.7368
TVS,20,KMKX,54,K5,2024-07-14T01:16:43Z,12,44,Point,-88.3409,43.6852
TVS,29,KMKE,86,B1,2024-07-14T01:16:51Z,321,47,Point,-88.7226,43.4258
TVS,36,KMKE,102,A1,2024-07-14T01:16:51Z,294,45,Point,-88.9817,43.1203
TVS,33,KGRB,100,N5,2024-07-14T01:18:36Z,191,49,Point,-88.3258,43.6972
TVS,21,KMKX,69,A5,2024-07-14T01:22:07Z,16,52,Point,-88.2211,43.8007
TVS,34,KMKE,95,D1,2024-07-14T01:22:50Z,323,47,Point,-88.6932,43.4428
TVS,24,KMKE,71,E1,2024-07-14T01:22:50Z,346,46,Point,-88.3011,43.5627
TVS,24,KMVX,80,V9,2024-07-14T01:24:34Z,135,53,Point,-96.414,46.9001
TVS,57,KMKE,123,I1,2024-07-14T01:28:50Z,302,34,Point,-88.7022,43.1174
TVS,32,KMKE,90,B1,2024-07-14T01:28:50Z,325,46,Point,-88.6497,43.4455
TVS,28,KPUX,57,K6,2024-07-14T01:32:21Z,236,33,Point,-104.7591,38.1507
TVS,16,KGRB,51,L7,2024-07-14T01:35:47Z,180,51,Point,-88.111,43.649
TVS,41,KMKE,108,H1,2024-07-14T01:36:40Z,336,42,Point,-88.4369,43.4579
TVS,31,KPUX,67,K6,2024-07-14T01:36:51Z,239,35,Point,-104.815,38.1576
TVS,34,KMKE,88,L1,2024-07-14T01:39:30Z,275,42,Point,-88.9946,42.8761
TVS,29,KMKE,85,M1,2024-07-14T01:42:40Z,263,45,Point,-89.0561,42.7231
TVS,55,KMKE,99,C1,2024-07-14T01:42:40Z,333,28,Point,-88.3359,43.2345
TVS,34,KMKE,88,C2,2024-07-14T01:48:40Z,357,41,Point,-88.0951,43.5014
TVS,51,KMKE,86,G2,2024-07-14T01:57:30Z,357,27,Point,-88.0782,43.2684
TVS,31,KMKE,85,S2,2024-07-14T01:57:30Z,359,44,Point,-88.0636,43.5523
TVS,59,KMKE,94,G2,2024-07-14T02:00:39Z,358,25,Point,-88.0659,43.2355
TVS,55,KMKE,91,J4,2024-07-14T02:12:39Z,14,26,Point,-87.9026,43.2394
TVS,34,KMKE,87,J5,2024-07-14T02:21:29Z,23,41,Point,-87.6794,43.4475
TVS,36,KMKE,80,Y5,2024-07-14T02:24:39Z,236,35,Point,-88.6998,42.4909
TVS,20,KMKX,65,Q2,2024-07-14T03:13:18Z,211,52,Point,-89.1518,42.2234
TVS,23,KMKX,72,A4,2024-07-14T03:19:25Z,148,49,Point,-87.968,42.2738
TVS,47,KMKE,96,F8,2024-07-14T03:24:37Z,160,33,Point,-87.7925,42.3018
TVS,27,KMKE,80,J1,2024-07-14T03:24:37Z,219,47,Point,-88.7094,42.2082
TVS,18,KMKX,55,B6,2024-07-14T03:25:32Z,207,49,Point,-89.0502,42.2391
TVS,52,KMKE,152,J1,2024-07-14T03:30:37Z,209,46,Point,-88.5457,42.1472
TVS,32,KMKE,95,B8,2024-07-14T03:30:37Z,229,48,Point,-88.8596,42.2911
TVS,24,KMKX,74,M2,2024-07-14T03:31:41Z,185,49,Point,-88.6467,42.1542
TVS,16,KMKX,52,W3,2024-07-14T03:31:41Z,192,51,Point,-88.7885,42.1362
TVS,29,KMKE,84,S9,2024-07-14T03:33:27Z,220,45,Point,-88.6951,42.2425
TVS,39,KMKE,90,E1,2024-07-14T03:36:37Z,153,37,Point,-87.6689,42.2688
TVS,41,KMKE,97,J9,2024-07-14T03:36:37Z,167,38,Point,-87.8543,42.2016
TVS,33,KMKE,81,M1,2024-07-14T03:36:37Z,185,39,Point,-88.1222,42.1713
TVS,35,KMKE,81,E1,2024-07-14T03:36:37Z,151,38,Point,-87.6324,42.2642
TVS,17,KMKX,54,W3,2024-07-14T03:37:47Z,190,53,Point,-88.757,42.0977
TVS,35,KMKE,91,U0,2024-07-14T03:42:37Z,195,41,Point,-88.2838,42.1586
TVS,30,KMKE,85,T6,2024-07-14T03:42:37Z,167,44,Point,-87.8244,42.1041
TVS,65,KMKE,152,N8,2024-07-14T03:42:37Z,132,37,Point,-87.4273,42.4046
TVS,35,KMKE,96,F2,2024-07-14T03:45:27Z,186,43,Point,-88.1466,42.1061
TVS,26,KMKE,76,T3,2024-07-14T03:45:27Z,217,45,Point,-88.6535,42.2183
TVS,30,KMKE,88,B4,2024-07-14T03:48:37Z,220,47,Point,-88.7237,42.2168
TVS,23,KMKE,64,J6,2024-07-14T03:48:37Z,193,43,Point,-88.2626,42.1203
TVS,34,KMKE,86,G6,2024-07-14T03:51:27Z,144,40,Point,-87.5181,42.2783
TVS,34,KMKE,90,T4,2024-07-14T03:51:27Z,152,43,Point,-87.5934,42.1852
TVS,60,KORD,87,W2,2024-07-14T03:54:14Z,44,23,Point,-87.5004,42.0723
